timestamp,FR_Hip,FR_Thigh,FR_Calf,FL_Hip,FL_Thigh,FL_Calf,BR_Hip,BR_Thigh,BR_Calf,BL_Hip,BL_Thigh,BL_Calf
1782329016.192,90.00,28.17,92.74,93.00,118.93,59.79,97.00,63.71,114.51,97.00,134.83,91.26
1782329016.304,90.00,24.98,95.71,93.00,119.73,61.58,97.00,61.97,114.10,97.00,138.02,88.29
1782329016.416,90.00,22.73,99.09,93.00,121.73,63.15,97.00,60.89,112.32,97.00,140.27,84.91
1782329016.532,90.00,21.70,102.08,93.00,123.24,65.15,97.00,59.27,111.05,97.00,141.30,81.92
1782329016.644,90.00,21.49,106.15,93.00,126.34,67.23,97.00,58.42,108.04,97.00,141.51,77.85
1782329016.756,90.00,22.49,110.48,93.00,128.03,70.99,97.00,55.29,106.39,97.00,140.51,73.52
1782329016.867,90.00,24.65,114.86,93.00,130.05,74.68,97.00,52.67,104.06,97.00,138.35,69.14
1782329016.979,90.00,27.77,118.99,93.00,132.34,78.19,97.00,50.66,101.20,97.00,135.23,65.01
1782329017.091,90.00,31.58,122.53,93.00,135.29,81.24,97.00,49.92,97.65,97.00,131.42,61.47
1782329017.203,90.00,35.76,125.13,93.00,137.24,84.53,97.00,48.53,94.79,97.00,127.24,58.87
1782329017.517,90.00,40.07,126.57,93.00,138.93,87.47,97.00,47.51,92.14,97.00,122.93,57.43
1782329017.628,90.00,44.29,126.78,93.00,140.21,89.99,97.00,46.69,89.90,97.00,118.71,57.22
1782329017.741,90.00,48.32,125.77,93.00,140.90,92.00,97.00,45.84,88.31,97.00,114.68,58.23
1782329017.853,90.00,52.13,123.67,93.00,142.12,93.05,97.00,46.31,86.75,97.00,110.87,60.33
1782329017.969,90.00,55.69,120.68,93.00,141.77,93.79,97.00,45.43,86.64,97.00,107.31,63.32
1782329018.081,90.00,58.54,117.46,93.00,136.24,95.63,97.00,31.76,93.37,97.00,108.87,61.99
1782329018.193,90.00,58.28,116.41,93.00,140.16,93.00,97.00,27.84,96.00,97.00,109.95,62.30
1782329018.305,90.00,57.17,115.25,93.00,143.27,89.99,97.00,24.73,99.01,97.00,111.21,63.50
1782329018.506,90.00,56.26,114.98,93.00,144.26,88.68,97.00,23.74,100.32,97.00,111.54,64.42
1782329018.618,90.00,54.60,113.15,93.00,145.99,85.10,97.00,22.01,103.90,97.00,113.39,66.32
1782329018.729,90.00,53.12,110.53,93.00,146.57,81.14,97.00,21.43,107.86,97.00,115.93,68.34
1782329018.842,90.00,50.61,108.28,93.00,145.94,76.88,97.00,22.06,112.12,97.00,117.88,71.41
1782329018.957,90.00,48.74,105.22,93.00,144.13,72.48,97.00,23.87,116.52,97.00,120.47,74.30
1782329019.070,90.00,46.14,102.55,93.00,141.28,68.23,97.00,26.72,120.77,97.00,122.26,77.87
1782329019.181,90.00,45.00,98.97,93.00,137.65,64.48,97.00,30.35,124.52,97.00,125.06,80.73
1782329019.298,90.00,43.32,95.99,93.00,133.55,61.56,97.00,34.45,127.44,97.00,126.89,83.95
1782329019.501,90.00,42.33,93.00,93.00,129.26,59.74,97.00,38.74,129.26,97.00,128.80,86.72
1782329019.616,90.00,41.00,90.73,93.00,125.00,59.15,97.00,43.00,129.85,97.00,129.82,89.40
1782329019.728,90.00,39.70,89.05,93.00,120.90,59.80,97.00,47.10,129.20,97.00,130.26,91.65
1782329019.840,90.00,38.78,87.88,93.00,117.02,61.58,97.00,50.98,127.42,97.00,130.48,93.23
1782329019.952,90.00,39.70,86.60,93.00,113.38,64.32,97.00,54.62,124.68,97.00,131.85,93.52
1782329020.065,90.00,33.10,89.64,93.00,118.53,58.55,97.00,64.99,114.57,97.00,129.90,94.36
1782329020.177,90.00,28.97,92.15,93.00,119.35,58.88,97.00,64.85,113.81,97.00,134.03,91.85
1782329020.290,90.00,25.59,95.04,93.00,120.36,60.24,97.00,63.64,113.13,97.00,137.41,88.96
1782329020.402,90.00,23.12,98.32,93.00,121.84,62.19,97.00,61.99,112.03,97.00,139.88,85.68
1782329020.521,90.00,21.91,101.25,93.00,123.70,63.75,97.00,61.00,110.38,97.00,141.09,82.75
1782329020.632,90.00,21.43,105.24,93.00,124.61,67.62,97.00,57.19,109.84,97.00,141.57,78.76
